A,B,C
CMD1A,Cardiomyopathy, Autosomal dominant
CMD1A,Heart-hand syndrome, Autosomal dominant
CMD1A,Hutchinson-Gilford progeria, Autosomal dominant
CMD1A,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
CMD1A,Malouf syndrome, Autosomal dominant
HGPS,Muscular dystrophy, Autosomal dominant
HGPS,Lipodystrophy, Autosomal dominant
HGPS,Cardiomyopathy, Autosomal dominant
HGPS,Heart-hand syndrome, Autosomal dominant
HGPS,Hutchinson-Gilford progeria, Autosomal dominant
HGPS,Emery-Dreifuss muscular dystrophy 2, Autosomal dominant
HGPS,Malouf syndrome, Autosomal dominant
SEMA4A,Retinitis pigmentosa 35, Autosomal dominant
SEMB,Retinitis pigmentosa 35, Autosomal dominant
RP35,Retinitis pigmentosa 35, Autosomal dominant
CORD10,Retinitis pigmentosa 35, Autosomal dominant
NTRK1,Medullary thyroid carcinoma, Autosomal dominant
TRKA,Medullary thyroid carcinoma, Autosomal dominant
MTC,Medullary thyroid carcinoma, Autosomal dominant
SPTA1,Elliptocytosis-2, Autosomal dominant
EL2,Elliptocytosis-2, Autosomal dominant
SPH3,Elliptocytosis-2, Autosomal dominant
HS3,Elliptocytosis-2, Autosomal dominant
HPP,Elliptocytosis-2, Autosomal dominant
ACKR1,[Blood group, Autosomal dominant
DARC,[Blood group, Autosomal dominant
FY,[Blood group, Autosomal dominant
GPD,[Blood group, Autosomal dominant
WBCQ1,[Blood group, Autosomal dominant
ATP1A2,Migraine, Autosomal dominant
ATP1A2,Migraine, Autosomal dominant
ATP1A2,Alternating hemiplegia of childhood 1, Autosomal dominant
FHM2,Migraine, Autosomal dominant
FHM2,Migraine, Autosomal dominant
FHM2,Alternating hemiplegia of childhood 1, Autosomal dominant
MHP2,Migraine, Autosomal dominant
MHP2,Migraine, Autosomal dominant
MHP2,Alternating hemiplegia of childhood 1, Autosomal dominant
CASQ1,Myopathy, Autosomal dominant
VMCQA,Myopathy, Autosomal dominant
DCAF8,Giant axonal neuropathy 2, Autosomal dominant
WDR42A,Giant axonal neuropathy 2, Autosomal dominant
GAN2,Giant axonal neuropathy 2, Autosomal dominant
COPA,Autoimmune interstitial lung, Autosomal dominant
AILJK,Autoimmune interstitial lung, Autosomal dominant
NCSTN,Acne inversa, Autosomal dominant
VANGL2,Neural tube defects, Autosomal dominant
LTAP,Neural tube defects, Autosomal dominant
PPOX,Porphyria variegata, Autosomal dominant
APOA2,Hypercholesterolemia, Autosomal dominant
MPZ,Charcot-Marie-Tooth disease, Autosomal dominant
MPZ,Charcot-Marie-Tooth disease, Autosomal dominant
MPZ,Dejerine-Sottas disease, Autosomal dominant
MPZ,Hypomyelinating neuropathy, Autosomal dominant
MPZ,Charcot-Marie-Tooth disease, Autosomal dominant
MPZ,Roussy-Levy syndrome, Autosomal dominant
MPZ,Charcot-Marie-Tooth disease, Autosomal dominant
CMT1B,Charcot-Marie-Tooth disease, Autosomal dominant
CMT1B,Charcot-Marie-Tooth disease, Autosomal dominant
CMT1B,Dejerine-Sottas disease, Autosomal dominant
CMT1B,Hypomyelinating neuropathy, Autosomal dominant
CMT1B,Charcot-Marie-Tooth disease, Autosomal dominant
CMT1B,Roussy-Levy syndrome, Autosomal dominant
CMT1B,Charcot-Marie-Tooth disease, Autosomal dominant
CMTDID,Charcot-Marie-Tooth disease, Autosomal dominant
CMTDID,Charcot-Marie-Tooth disease, Autosomal dominant
CMTDID,Dejerine-Sottas disease, Autosomal dominant
CMTDID,Hypomyelinating neuropathy, Autosomal dominant
CMTDID,Charcot-Marie-Tooth disease, Autosomal dominant
CMTDID,Roussy-Levy syndrome, Autosomal dominant
CMTDID,Charcot-Marie-Tooth disease, Autosomal dominant
DSS,Charcot-Marie-Tooth disease, Autosomal dominant
DSS,Charcot-Marie-Tooth disease, Autosomal dominant
DSS,Dejerine-Sottas disease, Autosomal dominant
DSS,Hypomyelinating neuropathy, Autosomal dominant
DSS,Charcot-Marie-Tooth disease, Autosomal dominant
DSS,Roussy-Levy syndrome, Autosomal dominant
DSS,Charcot-Marie-Tooth disease, Autosomal dominant
CHN2,Charcot-Marie-Tooth disease, Autosomal dominant
CHN2,Charcot-Marie-Tooth disease, Autosomal dominant
CHN2,Dejerine-Sottas disease, Autosomal dominant
CHN2,Hypomyelinating neuropathy, Autosomal dominant
CHN2,Charcot-Marie-Tooth disease, Autosomal dominant
CHN2,Roussy-Levy syndrome, Autosomal dominant
CHN2,Charcot-Marie-Tooth disease, Autosomal dominant
SDHC,Paragangliomas 3, Autosomal dominant
SDHC,Gastrointestinal stromal tumor, Isolated cases
PGL3,Paragangliomas 3, Autosomal dominant
PGL3,Gastrointestinal stromal tumor, Isolated cases
FCGR2A,Lupus nephritis, Autosomal dominant
IGFR2,Lupus nephritis, Autosomal dominant
CD32,Lupus nephritis, Autosomal dominant
FCGR2C,Thrombocytopenic purpura, Autosomal dominant
CD32C,Thrombocytopenic purpura, Autosomal dominant
FCGR2B,Systemic lupus erythematosus, Autosomal dominant
CD32,Systemic lupus erythematosus, Autosomal dominant
DDR2,Warburg-Cinotti syndrome, Autosomal dominant
NTRKR3,Warburg-Cinotti syndrome, Autosomal dominant
TKT,Warburg-Cinotti syndrome, Autosomal dominant
WRCN,Warburg-Cinotti syndrome, Autosomal dominant
PBX1,Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, Autosomal dominant
CAKUHED,Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, Autosomal dominant
DFNM1,Deafness, Autosomal dominant
ADCY10,Hypercalciuria, Autosomal dominant
SAC,Hypercalciuria, Autosomal dominant
HCA2,Hypercalciuria, Autosomal dominant
F5,Pregnancy loss, Autosomal dominant
F5,Thrombophilia due to activated protein C resistance, Autosomal dominant
F5,Thrombophilia, Autosomal dominant
THPH2,Pregnancy loss, Autosomal dominant
THPH2,Thrombophilia due to activated protein C resistance, Autosomal dominant
THPH2,Thrombophilia, Autosomal dominant
RPRGL1,Pregnancy loss, Autosomal dominant
RPRGL1,Thrombophilia due to activated protein C resistance, Autosomal dominant
RPRGL1,Thrombophilia, Autosomal dominant
PRRX1,Agnathia-otocephaly complex, Autosomal dominant
PMX1,Agnathia-otocephaly complex, Autosomal dominant
PHOX1,Agnathia-otocephaly complex, Autosomal dominant
AGOTC,Agnathia-otocephaly complex, Autosomal dominant
MYOC,Glaucoma 1A, Autosomal dominant
TIGR,Glaucoma 1A, Autosomal dominant
GLC1A,Glaucoma 1A, Autosomal dominant
JOAG,Glaucoma 1A, Autosomal dominant
GPOA,Glaucoma 1A, Autosomal dominant
EEF1AKNMT,Deafness, Autosomal dominant
METTL13,Deafness, Autosomal dominant
FEAT,Deafness, Autosomal dominant
KIAA0859,Deafness, Autosomal dominant
DFNB26M,Deafness, Autosomal dominant
FASLG,Autoimmune lymphoproliferative syndrome, Autosomal dominant
FASLG,Lung cancer, Somatic mutation
TNFSF6,Autoimmune lymphoproliferative syndrome, Autosomal dominant
TNFSF6,Lung cancer, Somatic mutation
APT1LG1,Autoimmune lymphoproliferative syndrome, Autosomal dominant
APT1LG1,Lung cancer, Somatic mutation
FASL,Autoimmune lymphoproliferative syndrome, Autosomal dominant
FASL,Lung cancer, Somatic mutation
ALPS1B,Autoimmune lymphoproliferative syndrome, Autosomal dominant
ALPS1B,Lung cancer, Somatic mutation
SERPINC1,Thrombophilia due to antithrombin III deficiency, Autosomal dominant
AT3,Thrombophilia due to antithrombin III deficiency, Autosomal dominant
AT3D,Thrombophilia due to antithrombin III deficiency, Autosomal dominant
THPH7,Thrombophilia due to antithrombin III deficiency, Autosomal dominant
LHX4,Pituitary hormone deficiency, Autosomal dominant
CPHD4,Pituitary hormone deficiency, Autosomal dominant
XPR1,Basal ganglia calcification, Autosomal dominant
SYG1,Basal ganglia calcification, Autosomal dominant
IBGC6,Basal ganglia calcification, Autosomal dominant
CACNA1E,Epileptic encephalopathy, Autosomal dominant
CACNL1A6,Epileptic encephalopathy, Autosomal dominant
EIEE69,Epileptic encephalopathy, Autosomal dominant
RNASEL,Prostate cancer 1, Autosomal dominant
RNS4,Prostate cancer 1, Autosomal dominant
PRCA1,Prostate cancer 1, Autosomal dominant
HPC1,Prostate cancer 1, Autosomal dominant
HMCN1,Macular degeneration, Autosomal dominant
FBLN6,Macular degeneration, Autosomal dominant
FIBL6,Macular degeneration, Autosomal dominant
ARMD1,Macular degeneration, Autosomal dominant
BOS2,Branchiootic syndrome 2, Autosomal dominant
MGR6,Migraine with or without aura, Autosomal dominant
MGR6,Migraine, Autosomal dominant
FHM3,Migraine with or without aura, Autosomal dominant
FHM3,Migraine, Autosomal dominant
PHA2A,Pseudohypoaldosteronism, Autosomal dominant
PHA2,Pseudohypoaldosteronism, Autosomal dominant
PSNP2,Supranuclear palsy, Autosomal dominant
PVOP1,Pelvic organ prolapse, Autosomal dominant
CDC73,Parathyroid adenoma with cystic changes, Autosomal dominant
CDC73,Hyperparathyroidism-jaw tumor syndrome, Autosomal dominant
CDC73,Hyperparathyroidism, Autosomal dominant
HRPT2,Parathyroid adenoma with cystic changes, Autosomal dominant
HRPT2,Hyperparathyroidism-jaw tumor syndrome, Autosomal dominant
HRPT2,Hyperparathyroidism, Autosomal dominant
C1orf28,Parathyroid adenoma with cystic changes, Autosomal dominant
C1orf28,Hyperparathyroidism-jaw tumor syndrome, Autosomal dominant
C1orf28,Hyperparathyroidism, Autosomal dominant
NYS7,Nystagmus 7, Autosomal dominant
KCNT2,Epileptic encephalopathy, Autosomal dominant
SLICK,Epileptic encephalopathy, Autosomal dominant
EIEE57,Epileptic encephalopathy, Autosomal dominant
CFH,Complement factor H deficiency, Autosomal dominant
CFH,Hemolytic uremic syndrome, Autosomal dominant
CFH,Basal laminar drusen, Autosomal dominant
HF1,Complement factor H deficiency, Autosomal dominant
HF1,Hemolytic uremic syndrome, Autosomal dominant
HF1,Basal laminar drusen, Autosomal dominant
HUS,Complement factor H deficiency, Autosomal dominant
HUS,Hemolytic uremic syndrome, Autosomal dominant
HUS,Basal laminar drusen, Autosomal dominant
ARMD4,Complement factor H deficiency, Autosomal dominant
ARMD4,Hemolytic uremic syndrome, Autosomal dominant
ARMD4,Basal laminar drusen, Autosomal dominant
AHUS1,Complement factor H deficiency, Autosomal dominant
AHUS1,Hemolytic uremic syndrome, Autosomal dominant
AHUS1,Basal laminar drusen, Autosomal dominant
CFHR3,Macular degeneration, Autosomal dominant
CFHR3,Hemolytic uremic syndrome, Autosomal dominant
FHR3,Macular degeneration, Autosomal dominant
FHR3,Hemolytic uremic syndrome, Autosomal dominant
HLF4,Macular degeneration, Autosomal dominant
HLF4,Hemolytic uremic syndrome, Autosomal dominant
CFHL3,Macular degeneration, Autosomal dominant
CFHL3,Hemolytic uremic syndrome, Autosomal dominant
CFHR1,Hemolytic uremic syndrome, Autosomal dominant
CFHR1,Macular degeneration, Autosomal dominant
FHR1,Hemolytic uremic syndrome, Autosomal dominant
FHR1,Macular degeneration, Autosomal dominant
HFL1,Hemolytic uremic syndrome, Autosomal dominant
HFL1,Macular degeneration, Autosomal dominant
CFHL1,Hemolytic uremic syndrome, Autosomal dominant
CFHL1,Macular degeneration, Autosomal dominant
CFHR5,Nephropathy due to CFHR5 deficiency, Autosomal dominant
CFHL5,Nephropathy due to CFHR5 deficiency, Autosomal dominant
FHR5,Nephropathy due to CFHR5 deficiency, Autosomal dominant
CFHR5D,Nephropathy due to CFHR5 deficiency, Autosomal dominant
CRB1,Pigmented paravenous chorioretinal atrophy, Autosomal dominant
RP12,Pigmented paravenous chorioretinal atrophy, Autosomal dominant
LCA8,Pigmented paravenous chorioretinal atrophy, Autosomal dominant
GFND1,Glomerulopathy with fibronectin deposits 1, Autosomal dominant
PFHB2,Progressive familial heart block, Autosomal dominant
CACNA1S,Malignant hyperthermia susceptibility 5, Autosomal dominant
CACNA1S,Thyrotoxic periodic paralysis, Autosomal dominant
CACNA1S,Hypokalemic periodic paralysis, Autosomal dominant
CACNL1A3,Malignant hyperthermia susceptibility 5, Autosomal dominant
CACNL1A3,Thyrotoxic periodic paralysis, Autosomal dominant
CACNL1A3,Hypokalemic periodic paralysis, Autosomal dominant
CCHL1A3,Malignant hyperthermia susceptibility 5, Autosomal dominant
CCHL1A3,Thyrotoxic periodic paralysis, Autosomal dominant
CCHL1A3,Hypokalemic periodic paralysis, Autosomal dominant
TTPP1,Malignant hyperthermia susceptibility 5, Autosomal dominant
TTPP1,Thyrotoxic periodic paralysis, Autosomal dominant
TTPP1,Hypokalemic periodic paralysis, Autosomal dominant
HOKPP1,Malignant hyperthermia susceptibility 5, Autosomal dominant
HOKPP1,Thyrotoxic periodic paralysis, Autosomal dominant
HOKPP1,Hypokalemic periodic paralysis, Autosomal dominant
TNNT2,Cardiomyopathy, Autosomal dominant
TNNT2,Cardiomyopathy, Autosomal dominant
TNNT2,Left ventricular noncompaction 6, Autosomal dominant
TNNT2,Cardiomyopathy, Autosomal dominant
CMH2,Cardiomyopathy, Autosomal dominant
CMH2,Cardiomyopathy, Autosomal dominant
CMH2,Left ventricular noncompaction 6, Autosomal dominant
CMH2,Cardiomyopathy, Autosomal dominant
CMD1D,Cardiomyopathy, Autosomal dominant
CMD1D,Cardiomyopathy, Autosomal dominant
CMD1D,Left ventricular noncompaction 6, Autosomal dominant
CMD1D,Cardiomyopathy, Autosomal dominant
RCM3,Cardiomyopathy, Autosomal dominant
RCM3,Cardiomyopathy, Autosomal dominant
RCM3,Left ventricular noncompaction 6, Autosomal dominant
RCM3,Cardiomyopathy, Autosomal dominant
LVNC6,Cardiomyopathy, Autosomal dominant
LVNC6,Cardiomyopathy, Autosomal dominant
LVNC6,Left ventricular noncompaction 6, Autosomal dominant
LVNC6,Cardiomyopathy, Autosomal dominant
SYT2,Myasthenic syndrome, Autosomal dominant
CMS7,Myasthenic syndrome, Autosomal dominant
MYSPC,Myasthenic syndrome, Autosomal dominant
CHI3L1,Schizophrenia, Autosomal dominant
GP39,Schizophrenia, Autosomal dominant
YKL40,Schizophrenia, Autosomal dominant
ASRT7,Schizophrenia, Autosomal dominant
SNRPE,Hypotrichosis 11, Autosomal dominant
HYPT11,Hypotrichosis 11, Autosomal dominant
REN,Hyperuricemic nephropathy, Autosomal dominant
HNFJ2,Hyperuricemic nephropathy, Autosomal dominant
DSTYK,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
KIAA0472,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
RIP5,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
DUSTYPK,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
CAKUT1,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
SPG23,Congenital anomalies of kidney and urinary tract 1, Autosomal dominant
MCP,Hemolytic uremic syndrome, Autosomal dominant
CD46,Hemolytic uremic syndrome, Autosomal dominant
AHUS2,Hemolytic uremic syndrome, Autosomal dominant
LAMB3,Amelogenesis imperfecta, Autosomal dominant
AI1A,Amelogenesis imperfecta, Autosomal dominant
HSD11B1,Cortisone reductase deficiency 2, Autosomal dominant
HSD11,Cortisone reductase deficiency 2, Autosomal dominant
HSD11L,Cortisone reductase deficiency 2, Autosomal dominant
CORTRD2,Cortisone reductase deficiency 2, Autosomal dominant
IRF6,Popliteal pterygium syndrome 1, Autosomal dominant
IRF6,Orofacial cleft 6, Autosomal dominant
IRF6,van der Woude syndrome, Autosomal dominant
VWS,Popliteal pterygium syndrome 1, Autosomal dominant
VWS,Orofacial cleft 6, Autosomal dominant
VWS,van der Woude syndrome, Autosomal dominant
LPS,Popliteal pterygium syndrome 1, Autosomal dominant
LPS,Orofacial cleft 6, Autosomal dominant
LPS,van der Woude syndrome, Autosomal dominant
PIT,Popliteal pterygium syndrome 1, Autosomal dominant
PIT,Orofacial cleft 6, Autosomal dominant
PIT,van der Woude syndrome, Autosomal dominant
PPS1,Popliteal pterygium syndrome 1, Autosomal dominant
PPS1,Orofacial cleft 6, Autosomal dominant
PPS1,van der Woude syndrome, Autosomal dominant
OFC6,Popliteal pterygium syndrome 1, Autosomal dominant
OFC6,Orofacial cleft 6, Autosomal dominant
OFC6,van der Woude syndrome, Autosomal dominant
KCNH1,Temple-Baraitser syndrome, Autosomal dominant
KCNH1,Zimmermann-Laband syndrome 1, Autosomal dominant
EAG,Temple-Baraitser syndrome, Autosomal dominant
EAG,Zimmermann-Laband syndrome 1, Autosomal dominant
TMBTS,Temple-Baraitser syndrome, Autosomal dominant
TMBTS,Zimmermann-Laband syndrome 1, Autosomal dominant
ZLS1,Temple-Baraitser syndrome, Autosomal dominant
ZLS1,Zimmermann-Laband syndrome 1, Autosomal dominant
OTSC10,Otosclerosis 10, Autosomal dominant
RMD1,Rippling muscle disease-1, Autosomal dominant
TGFB2,Loeys-Dietz syndrome 4, Autosomal dominant
LDS4,Loeys-Dietz syndrome 4, Autosomal dominant
EA3,Episodic ataxia, Autosomal dominant
WDR26,Skraban-Deardorff syndrome, Autosomal dominant
SKDEAS,Skraban-Deardorff syndrome, Autosomal dominant
LBR,Pelger-Huet anomaly, Autosomal dominant
LBR,Reynolds syndrome, Autosomal dominant
PHA,Pelger-Huet anomaly, Autosomal dominant
PHA,Reynolds syndrome, Autosomal dominant
PHASK,Pelger-Huet anomaly, Autosomal dominant
PHASK,Reynolds syndrome, Autosomal dominant
PSEN2,Alzheimer disease-4, Autosomal dominant
PSEN2,Cardiomyopathy, Autosomal dominant
AD4,Alzheimer disease-4, Autosomal dominant
AD4,Cardiomyopathy, Autosomal dominant
STM2,Alzheimer disease-4, Autosomal dominant
STM2,Cardiomyopathy, Autosomal dominant
CMD1V,Alzheimer disease-4, Autosomal dominant
CMD1V,Cardiomyopathy, Autosomal dominant
ARF1,Periventricular nodular heterotopia 8, Autosomal dominant
PVNH8,Periventricular nodular heterotopia 8, Autosomal dominant
GJC2,Lymphatic malformation 3, Autosomal dominant
GJA12,Lymphatic malformation 3, Autosomal dominant
CX47,Lymphatic malformation 3, Autosomal dominant
PMLDAR,Lymphatic malformation 3, Autosomal dominant
HLD2,Lymphatic malformation 3, Autosomal dominant
SPG44,Lymphatic malformation 3, Autosomal dominant
LMPHM3,Lymphatic malformation 3, Autosomal dominant
ACTA1,Myopathy, Autosomal dominant
ACTA1,Nemaline myopathy 3, Autosomal dominant
ACTA1,Myopathy, Autosomal dominant
ACTA1,Myopathy, Autosomal dominant
ACTA1,Myopathy, Autosomal dominant
ASMA,Myopathy, Autosomal dominant
ASMA,Nemaline myopathy 3, Autosomal dominant
ASMA,Myopathy, Autosomal dominant
ASMA,Myopathy, Autosomal dominant
ASMA,Myopathy, Autosomal dominant
NEM3,Myopathy, Autosomal dominant
NEM3,Nemaline myopathy 3, Autosomal dominant
NEM3,Myopathy, Autosomal dominant
NEM3,Myopathy, Autosomal dominant
NEM3,Myopathy, Autosomal dominant
CFTD1,Myopathy, Autosomal dominant
CFTD1,Nemaline myopathy 3, Autosomal dominant
CFTD1,Myopathy, Autosomal dominant
CFTD1,Myopathy, Autosomal dominant
CFTD1,Myopathy, Autosomal dominant
SHPM,Myopathy, Autosomal dominant
SHPM,Nemaline myopathy 3, Autosomal dominant
SHPM,Myopathy, Autosomal dominant
SHPM,Myopathy, Autosomal dominant
SHPM,Myopathy, Autosomal dominant
SHFL1,Split-hand/foot malformation with long bone deficiency 1, Autosomal dominant
SHFLD,Split-hand/foot malformation with long bone deficiency 1, Autosomal dominant
EGLN1,[Hemoglobin, Autosomal dominant
EGLN1,Erythrocytosis, Autosomal dominant
PHD2,[Hemoglobin, Autosomal dominant
PHD2,Erythrocytosis, Autosomal dominant
HIFPH2,[Hemoglobin, Autosomal dominant
HIFPH2,Erythrocytosis, Autosomal dominant
